Accession,Description,Length,Part_1,Part_2,Part_3
KC999710.1,"13915. Murine astrovirus isolate Jap/UniL/BALBc RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13915. Murine astrovirus isolate Jap/UniL/BALBc RNA-dependent RNA polymerase gene, partial cds",,
KC999709.1,"13916. Murine astrovirus isolate Jap/UniK/ICR/2 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13916. Murine astrovirus isolate Jap/UniK/ICR/2 RNA-dependent RNA polymerase gene, partial cds",,
KC999708.1,"13917. Murine astrovirus isolate Jap/UniK/ICR/1 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13917. Murine astrovirus isolate Jap/UniK/ICR/1 RNA-dependent RNA polymerase gene, partial cds",,
KC999707.1,"13918. Murine astrovirus isolate Jap/UniD/ICR RNA-dependent RNA polymerase gene, partial cds",234 bp linear RNA,"13918. Murine astrovirus isolate Jap/UniD/ICR RNA-dependent RNA polymerase gene, partial cds",,
KC999706.1,"13919. Murine astrovirus isolate Jap/UniC/ICR RNA-dependent RNA polymerase gene, partial cds",276 bp linear RNA,"13919. Murine astrovirus isolate Jap/UniC/ICR RNA-dependent RNA polymerase gene, partial cds",,
KC999705.1,"13920. Murine astrovirus isolate Jap/UniC/Bach2 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13920. Murine astrovirus isolate Jap/UniC/Bach2 RNA-dependent RNA polymerase gene, partial cds",,
KC999704.1,"13921. Murine astrovirus isolate Jap/UniC/B6J RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13921. Murine astrovirus isolate Jap/UniC/B6J RNA-dependent RNA polymerase gene, partial cds",,
KC999703.1,"13922. Murine astrovirus isolate Jap/PharC/BALBc/3 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13922. Murine astrovirus isolate Jap/PharC/BALBc/3 RNA-dependent RNA polymerase gene, partial cds",,
KC999702.1,"13923. Murine astrovirus isolate Jap/PharC/BALBc/2 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13923. Murine astrovirus isolate Jap/PharC/BALBc/2 RNA-dependent RNA polymerase gene, partial cds",,
KC999701.1,"13924. Murine astrovirus isolate Jap/PharC/BALBc/1 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13924. Murine astrovirus isolate Jap/PharC/BALBc/1 RNA-dependent RNA polymerase gene, partial cds",,
KC999700.1,"13925. Murine astrovirus isolate Jap/PharA/ICR RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13925. Murine astrovirus isolate Jap/PharA/ICR RNA-dependent RNA polymerase gene, partial cds",,
KC999699.1,"13926. Murine astrovirus isolate Jap/InstE/ICR RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13926. Murine astrovirus isolate Jap/InstE/ICR RNA-dependent RNA polymerase gene, partial cds",,
KC999698.1,"13927. Murine astrovirus isolate Jap/InstB/BALBc_B6J RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13927. Murine astrovirus isolate Jap/InstB/BALBc_B6J RNA-dependent RNA polymerase gene, partial cds",,
KC999697.1,"13928. Murine astrovirus isolate Jap/InstA/BALBc RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13928. Murine astrovirus isolate Jap/InstA/BALBc RNA-dependent RNA polymerase gene, partial cds",,
KC999696.1,"13929. Murine astrovirus isolate JAX/NSG-SCID RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13929. Murine astrovirus isolate JAX/NSG-SCID RNA-dependent RNA polymerase gene, partial cds",,
KC999695.1,"13930. Murine astrovirus isolate JAX/NSG RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13930. Murine astrovirus isolate JAX/NSG RNA-dependent RNA polymerase gene, partial cds",,
KC999694.1,"13931. Murine astrovirus isolate BSRI/uPA-NOG RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13931. Murine astrovirus isolate BSRI/uPA-NOG RNA-dependent RNA polymerase gene, partial cds",,
KC999693.1,"13932. Murine astrovirus isolate BSRI/CytoTg-NSG RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13932. Murine astrovirus isolate BSRI/CytoTg-NSG RNA-dependent RNA polymerase gene, partial cds",,
KC999692.1,"13933. Murine astrovirus isolate BSRI/NSG/4 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13933. Murine astrovirus isolate BSRI/NSG/4 RNA-dependent RNA polymerase gene, partial cds",,
KC999691.1,"13934. Murine astrovirus isolate BSRI/NSG/3 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13934. Murine astrovirus isolate BSRI/NSG/3 RNA-dependent RNA polymerase gene, partial cds",,
KC999690.1,"13935. Murine astrovirus isolate BSRI/NSG/2 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13935. Murine astrovirus isolate BSRI/NSG/2 RNA-dependent RNA polymerase gene, partial cds",,
JX878484.1,"13936. Canine astrovirus strain 1110 RdRp polymerase gene, partial cds",370 bp linear RNA,"13936. Canine astrovirus strain 1110 RdRp polymerase gene, partial cds",,
JX878483.1,"13937. Canine astrovirus strain 1109 RdRp polymerase gene, partial cds",370 bp linear RNA,"13937. Canine astrovirus strain 1109 RdRp polymerase gene, partial cds",,
JX878482.1,"13938. Canine astrovirus strain 1093 RdRp polymerase gene, partial cds",370 bp linear RNA,"13938. Canine astrovirus strain 1093 RdRp polymerase gene, partial cds",,
JX878481.1,"13939. Canine astrovirus strain 1068 RdRp polymerase gene, partial cds",370 bp linear RNA,"13939. Canine astrovirus strain 1068 RdRp polymerase gene, partial cds",,
JX878480.1,"13940. Canine astrovirus strain 915 RdRp polymerase gene, partial cds",370 bp linear RNA,"13940. Canine astrovirus strain 915 RdRp polymerase gene, partial cds",,
JX878479.1,"13941. Canine astrovirus strain 905 RdRp polymerase gene, partial cds",370 bp linear RNA,"13941. Canine astrovirus strain 905 RdRp polymerase gene, partial cds",,
KF499111.1,"13942. Feline astrovirus 2 strain 1637F, complete genome","6,795 bp linear RNA","13942. Feline astrovirus 2 strain 1637F, complete genome",,
KC692437.1,"13943. Astrovirus PgAstV-2 RNA-dependent RNA polymerase gene, partial cds",323 bp linear RNA,"13943. Astrovirus PgAstV-2 RNA-dependent RNA polymerase gene, partial cds",,
KC692436.1,"13944. Astrovirus PgAstV-3 RNA-dependent RNA polymerase gene, partial cds",323 bp linear RNA,"13944. Astrovirus PgAstV-3 RNA-dependent RNA polymerase gene, partial cds",,
KC692435.1,"13945. Astrovirus PgAstV-1 RNA-dependent RNA polymerase gene, partial cds",326 bp linear RNA,"13945. Astrovirus PgAstV-1 RNA-dependent RNA polymerase gene, partial cds",,
KC692434.1,"13946. Astrovirus PgAstV-8 RNA-dependent RNA polymerase gene, partial cds",326 bp linear RNA,"13946. Astrovirus PgAstV-8 RNA-dependent RNA polymerase gene, partial cds",,
KC692433.1,"13947. Astrovirus PgAstV-7 RNA-dependent RNA polymerase gene, partial cds",326 bp linear RNA,"13947. Astrovirus PgAstV-7 RNA-dependent RNA polymerase gene, partial cds",,
KC692432.1,"13948. Astrovirus PgAstV-4 RNA-dependent RNA polymerase gene, partial cds",326 bp linear RNA,"13948. Astrovirus PgAstV-4 RNA-dependent RNA polymerase gene, partial cds",,
KC692431.1,"13949. Astrovirus PgAstV-5 RNA-dependent RNA polymerase gene, partial cds",326 bp linear RNA,"13949. Astrovirus PgAstV-5 RNA-dependent RNA polymerase gene, partial cds",,
KF157967.1,"13950. Human astrovirus 5 strain Hu/Budapest/HUN5186/2012/HUN nonstructural protein (ORF1a) and nonstructural protein (ORF1b) genes, partial cds; and capsid protein (ORF2) gene, complete cds","5,623 bp linear RNA","13950. Human astrovirus 5 strain Hu/Budapest/HUN5186/2012/HUN nonstructural protein (ORF1a) and nonstructural protein (ORF1b) genes, partial cds"," and capsid protein (ORF2) gene, complete cds",
KF156808.1,"13951. Mamastrovirus 1 isolate 05/2011/Tegucigalpa/Honduras capsid protein precursor, gene, partial cds",438 bp linear RNA,"13951. Mamastrovirus 1 isolate 05/2011/Tegucigalpa/Honduras capsid protein precursor, gene, partial cds",,
KF156807.1,"13952. Mamastrovirus 1 isolate 04/2011/Tegucigalpa/Honduras capsid protein precursor, gene, partial cds",438 bp linear RNA,"13952. Mamastrovirus 1 isolate 04/2011/Tegucigalpa/Honduras capsid protein precursor, gene, partial cds",,
KF156806.1,"13953. Mamastrovirus 1 isolate 03/2011/Tegucigalpa/Honduras capsid protein precursor, gene, partial cds",435 bp linear RNA,"13953. Mamastrovirus 1 isolate 03/2011/Tegucigalpa/Honduras capsid protein precursor, gene, partial cds",,
KF156805.1,"13954. Mamastrovirus 1 isolate 02/2011/Tegucigalpa/Honduras capsid protein precursor, gene, partial cds",450 bp linear RNA,"13954. Mamastrovirus 1 isolate 02/2011/Tegucigalpa/Honduras capsid protein precursor, gene, partial cds",,
KF156804.1,"13955. Mamastrovirus 1 isolate 01/2011/Tegucigalpa/Honduras capsid protein precursor, gene, partial cds",402 bp linear RNA,"13955. Mamastrovirus 1 isolate 01/2011/Tegucigalpa/Honduras capsid protein precursor, gene, partial cds",,
KF233994.1,"13956. Bovine astrovirus NeuroS1 ORF1AB, ORF1, and capsid protein genes, complete cds","6,476 bp linear RNA","13956. Bovine astrovirus NeuroS1 ORF1AB, ORF1, and capsid protein genes, complete cds",,
KF512009.1,"13957. Human astrovirus 1 strain CQASV278/2010/CHN capsid protein gene, partial cds",390 bp linear RNA,"13957. Human astrovirus 1 strain CQASV278/2010/CHN capsid protein gene, partial cds",,
AB829252.1,"13958. Astrovirus MLB2 RNA, complete genome, isolate: GUP187","6,148 bp linear RNA","13958. Astrovirus MLB2 RNA, complete genome, isolate: GUP187",,
AB823732.1,"13959. Astrovirus MLB1 genomic RNA, complete genome, isolate: BtnMLB1-86","6,201 bp linear RNA","13959. Astrovirus MLB1 genomic RNA, complete genome, isolate: BtnMLB1-86",,
AB823731.1,"13960. Astrovirus MLB1 genomic RNA, complete genome, isolate: BtnMLB1-40","6,201 bp linear RNA","13960. Astrovirus MLB1 genomic RNA, complete genome, isolate: BtnMLB1-40",,
KF155291.1,"13961. Mamastrovirus 2 strain FAstV-K46 RNA-dependent RNA polymerase and capsid genes, partial cds","1,407 bp linear RNA","13961. Mamastrovirus 2 strain FAstV-K46 RNA-dependent RNA polymerase and capsid genes, partial cds",,
KF155290.1,"13962. Mamastrovirus 2 strain FAstV-K40 RNA-dependent RNA polymerase and capsid genes, partial cds","1,407 bp linear RNA","13962. Mamastrovirus 2 strain FAstV-K40 RNA-dependent RNA polymerase and capsid genes, partial cds",,
KF155289.1,"13963. Mamastrovirus 2 strain FAstV-K27 RNA-dependent RNA polymerase and capsid genes, partial cds","1,407 bp linear RNA","13963. Mamastrovirus 2 strain FAstV-K27 RNA-dependent RNA polymerase and capsid genes, partial cds",,
KF155288.1,"13964. Mamastrovirus 2 strain FAstV-K6 RNA-dependent RNA polymerase and capsid genes, partial cds","1,407 bp linear RNA","13964. Mamastrovirus 2 strain FAstV-K6 RNA-dependent RNA polymerase and capsid genes, partial cds",,
JQ673585.1,"13965. HMO Astrovirus A isolate 10621246 RNA-dependent RNA polymerase gene, partial cds",433 bp linear RNA,"13965. HMO Astrovirus A isolate 10621246 RNA-dependent RNA polymerase gene, partial cds",,
JQ673584.1,"13966. HMO Astrovirus A isolate 10322603 RNA-dependent RNA polymerase gene, partial cds",433 bp linear RNA,"13966. HMO Astrovirus A isolate 10322603 RNA-dependent RNA polymerase gene, partial cds",,
JQ673583.1,"13967. Human astrovirus MLB2 isolate 10621012 RNA-dependent RNA polymerase gene, partial cds",409 bp linear RNA,"13967. Human astrovirus MLB2 isolate 10621012 RNA-dependent RNA polymerase gene, partial cds",,
JQ673582.1,"13968. Human astrovirus MLB2 isolate 10322651 RNA-dependent RNA polymerase gene, partial cds",409 bp linear RNA,"13968. Human astrovirus MLB2 isolate 10322651 RNA-dependent RNA polymerase gene, partial cds",,
JQ673581.1,"13969. Human astrovirus MLB1 isolate 10621268 RNA-dependent RNA polymerase gene, partial cds",409 bp linear RNA,"13969. Human astrovirus MLB1 isolate 10621268 RNA-dependent RNA polymerase gene, partial cds",,
JQ673580.1,"13970. Human astrovirus MLB1 isolate 10621264 RNA-dependent RNA polymerase gene, partial cds",409 bp linear RNA,"13970. Human astrovirus MLB1 isolate 10621264 RNA-dependent RNA polymerase gene, partial cds",,
JQ673579.1,"13971. Human astrovirus MLB1 isolate 10621237 RNA-dependent RNA polymerase gene, partial cds",409 bp linear RNA,"13971. Human astrovirus MLB1 isolate 10621237 RNA-dependent RNA polymerase gene, partial cds",,
JQ673578.1,"13972. Human astrovirus MLB1 isolate 10621144 RNA-dependent RNA polymerase gene, partial cds",409 bp linear RNA,"13972. Human astrovirus MLB1 isolate 10621144 RNA-dependent RNA polymerase gene, partial cds",,
JQ673577.1,"13973. Human astrovirus MLB1 isolate 10621141 RNA-dependent RNA polymerase gene, partial cds",409 bp linear RNA,"13973. Human astrovirus MLB1 isolate 10621141 RNA-dependent RNA polymerase gene, partial cds",,
JQ673576.1,"13974. Human astrovirus MLB1 isolate 10322706 RNA-dependent RNA polymerase gene, partial cds",409 bp linear RNA,"13974. Human astrovirus MLB1 isolate 10322706 RNA-dependent RNA polymerase gene, partial cds",,
JQ673575.1,"13975. Human astrovirus MLB1 isolate 10322608 RNA-dependent RNA polymerase gene, partial cds",409 bp linear RNA,"13975. Human astrovirus MLB1 isolate 10322608 RNA-dependent RNA polymerase gene, partial cds",,
KC470089.1,"13976. Canine astrovirus strain 1093 capsid gene, partial cds",627 bp linear RNA,"13976. Canine astrovirus strain 1093 capsid gene, partial cds",,
KC470088.1,"13977. Canine astrovirus strain 1068 capsid gene, partial cds",627 bp linear RNA,"13977. Canine astrovirus strain 1068 capsid gene, partial cds",,
KC470087.1,"13978. Canine astrovirus strain 915 capsid gene, partial cds",627 bp linear RNA,"13978. Canine astrovirus strain 915 capsid gene, partial cds",,
KC470086.1,"13979. Canine astrovirus strain 905 capsid gene, partial cds",627 bp linear RNA,"13979. Canine astrovirus strain 905 capsid gene, partial cds",,
KC896126.1,"13980. Mamastrovirus 1 isolate PAKNIH-3075 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13980. Mamastrovirus 1 isolate PAKNIH-3075 from Pakistan capsid protein gene, partial cds",,
KC896125.1,"13981. Mamastrovirus 1 isolate PAKNIH-3072 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13981. Mamastrovirus 1 isolate PAKNIH-3072 from Pakistan capsid protein gene, partial cds",,
KC896124.1,"13982. Mamastrovirus 4 isolate PAKNIH-3062 from Pakistan capsid protein gene, partial cds",447 bp linear RNA,"13982. Mamastrovirus 4 isolate PAKNIH-3062 from Pakistan capsid protein gene, partial cds",,
KC896123.1,"13983. Mamastrovirus 1 isolate PAKNIH-3058 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13983. Mamastrovirus 1 isolate PAKNIH-3058 from Pakistan capsid protein gene, partial cds",,
KC896122.1,"13984. Mamastrovirus 1 isolate PAKNIH-3051 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13984. Mamastrovirus 1 isolate PAKNIH-3051 from Pakistan capsid protein gene, partial cds",,
KC896121.1,"13985. Mamastrovirus 1 isolate PAKNIH-3042 from Pakistan capsid protein gene, partial cds",447 bp linear RNA,"13985. Mamastrovirus 1 isolate PAKNIH-3042 from Pakistan capsid protein gene, partial cds",,
KC896120.1,"13986. Mamastrovirus 1 isolate PAKNIH-3013 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13986. Mamastrovirus 1 isolate PAKNIH-3013 from Pakistan capsid protein gene, partial cds",,
KC896119.1,"13987. Mamastrovirus 6 isolate PAKNIH-2979 from Pakistan capsid protein gene, partial cds",447 bp linear RNA,"13987. Mamastrovirus 6 isolate PAKNIH-2979 from Pakistan capsid protein gene, partial cds",,
KC896118.1,"13988. Mamastrovirus 3 isolate PAKNIH-2972 from Pakistan capsid protein gene, partial cds",435 bp linear RNA,"13988. Mamastrovirus 3 isolate PAKNIH-2972 from Pakistan capsid protein gene, partial cds",,
KC896117.1,"13989. Mamastrovirus 6 isolate PAKNIH-2890 from Pakistan capsid protein gene, partial cds",447 bp linear RNA,"13989. Mamastrovirus 6 isolate PAKNIH-2890 from Pakistan capsid protein gene, partial cds",,
KC896116.1,"13990. Mamastrovirus 4 isolate PAKNIH-2872 from Pakistan capsid protein gene, partial cds",454 bp linear RNA,"13990. Mamastrovirus 4 isolate PAKNIH-2872 from Pakistan capsid protein gene, partial cds",,
KC896115.1,"13991. Mamastrovirus 1 isolate PAKNIH-2599 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13991. Mamastrovirus 1 isolate PAKNIH-2599 from Pakistan capsid protein gene, partial cds",,
KC896114.1,"13992. Mamastrovirus 4 isolate PAKNIH-2586 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13992. Mamastrovirus 4 isolate PAKNIH-2586 from Pakistan capsid protein gene, partial cds",,
KC896113.1,"13993. Mamastrovirus 1 isolate PAKNIH-2567 from Pakistan capsid protein gene, partial cds",447 bp linear RNA,"13993. Mamastrovirus 1 isolate PAKNIH-2567 from Pakistan capsid protein gene, partial cds",,
KC896112.1,"13994. Mamastrovirus 1 isolate PAKNIH-2557 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13994. Mamastrovirus 1 isolate PAKNIH-2557 from Pakistan capsid protein gene, partial cds",,
KC896111.1,"13995. Mamastrovirus 1 isolate PAKNIH-2556 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13995. Mamastrovirus 1 isolate PAKNIH-2556 from Pakistan capsid protein gene, partial cds",,
KC896110.1,"13996. Mamastrovirus 1 isolate PAKNIH-2554 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13996. Mamastrovirus 1 isolate PAKNIH-2554 from Pakistan capsid protein gene, partial cds",,
KC896109.1,"13997. Mamastrovirus 1 isolate PAKNIH-2553 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13997. Mamastrovirus 1 isolate PAKNIH-2553 from Pakistan capsid protein gene, partial cds",,
KC896108.1,"13998. Mamastrovirus 1 isolate PAKNIH-2552 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13998. Mamastrovirus 1 isolate PAKNIH-2552 from Pakistan capsid protein gene, partial cds",,
KC896107.1,"13999. Mamastrovirus 1 isolate PAKNIH-2550 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"13999. Mamastrovirus 1 isolate PAKNIH-2550 from Pakistan capsid protein gene, partial cds",,
KC896106.1,"14000. Mamastrovirus 1 isolate PAKNIH-2542 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"14000. Mamastrovirus 1 isolate PAKNIH-2542 from Pakistan capsid protein gene, partial cds",,
KC896105.1,"14001. Mamastrovirus 4 isolate PAKNIH-2535 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"14001. Mamastrovirus 4 isolate PAKNIH-2535 from Pakistan capsid protein gene, partial cds",,
KC896104.1,"14002. Mamastrovirus 1 isolate PAKNIH-2531 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"14002. Mamastrovirus 1 isolate PAKNIH-2531 from Pakistan capsid protein gene, partial cds",,
KC896103.1,"14003. Mamastrovirus 1 isolate PAKNIH-2486 from Pakistan capsid protein gene, partial cds",372 bp linear RNA,"14003. Mamastrovirus 1 isolate PAKNIH-2486 from Pakistan capsid protein gene, partial cds",,
KC896102.1,"14004. Mamastrovirus 1 isolate PAKNIH-2479 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"14004. Mamastrovirus 1 isolate PAKNIH-2479 from Pakistan capsid protein gene, partial cds",,
KC896101.1,"14005. Mamastrovirus 1 isolate PAKNIH-2475 from Pakistan capsid protein gene, partial cds",450 bp linear RNA,"14005. Mamastrovirus 1 isolate PAKNIH-2475 from Pakistan capsid protein gene, partial cds",,
